pickup_time,trip_distance,fare,duration_min,speed_mph,ghost_reason
2025-11-01T23:04:52.000000,5.07,85.55,0.11666666666666667,2479.8913043478265,Impossible Physics (>65mph)
2025-11-01T23:40:11.000000,0.06,70.0,0.3,11.76470588235294,"Teleporter (<1min, >$20)"
2025-11-01T23:37:56.000000,0.0,7.9,7.833333333333333,0.0,"Stationary Ride (0mi, >$0)"
2025-11-02T00:12:25.000000,0.0,9.5,0.05,0.0,"Stationary Ride (0mi, >$0)"
2025-11-02T00:45:33.000000,3.1,0.0,0.4,458.12807881773404,Impossible Physics (>65mph)
2025-11-02T00:08:26.000000,0.0,60.0,0.08333333333333333,0.0,"Teleporter (<1min, >$20)"
2025-11-02T00:04:22.000000,0.0,25.98,0.05,0.0,"Teleporter (<1min, >$20)"
2025-11-02T00:08:33.000000,0.0,1.05,0.4166666666666667,0.0,"Stationary Ride (0mi, >$0)"
2025-11-02T00:11:05.000000,0.0,105.0,0.6666666666666666,0.0,"Teleporter (<1min, >$20)"
2025-11-02T00:12:00.000000,2.32,25.0,0.4666666666666667,294.4992947813822,Impossible Physics (>65mph)
2025-11-02T00:21:17.000000,0.0,5.1,3.433333333333333,0.0,"Stationary Ride (0mi, >$0)"
2025-11-02T00:26:15.000000,0.0,9.3,9.716666666666667,0.0,"Stationary Ride (0mi, >$0)"
2025-11-02T01:58:21.000000,1.8,12.1,-48.833333333333336,-2.2118758618806407,Time Travel (Negative Duration)
2025-11-02T01:51:52.000000,1.47,35.0,-47.266666666666666,-1.8662453625989193,"Teleporter (<1min, >$20)"
2025-11-02T01:03:17.000000,3.1,0.0,0.23333333333333334,777.158774373259,Impossible Physics (>65mph)
2025-11-02T01:56:05.000000,0.0,3.0,0.8666666666666667,0.0,"Stationary Ride (0mi, >$0)"
2025-11-02T01:55:25.000000,0.01,40.0,0.2,2.9126213592233015,"Teleporter (<1min, >$20)"
2025-11-02T01:55:25.000000,4.44,39.0,0.03333333333333333,6772.881355932203,Impossible Physics (>65mph)
2025-11-02T01:04:00.000000,0.0,100.0,0.06666666666666667,0.0,"Teleporter (<1min, >$20)"
2025-11-02T01:30:10.000000,0.02,50.0,0.05,21.42857142857143,"Teleporter (<1min, >$20)"
2025-11-02T02:38:31.000000,0.0,130.0,0.06666666666666667,0.0,"Teleporter (<1min, >$20)"
2025-11-02T02:29:13.000000,9.64,55.0,4.216666666666667,136.97505525734135,Impossible Physics (>65mph)
2025-11-02T03:05:57.000000,0.0,59.0,0.08333333333333333,0.0,"Teleporter (<1min, >$20)"
2025-11-02T03:25:28.000000,0.0,20.0,0.05,0.0,"Stationary Ride (0mi, >$0)"
2025-11-02T03:20:55.000000,0.04,69.0,0.03333333333333333,61.01694915254237,"Teleporter (<1min, >$20)"
2025-11-02T03:57:57.000000,0.0,20.0,0.06666666666666667,0.0,"Stationary Ride (0mi, >$0)"
2025-11-02T04:08:58.000000,4.5,60.0,0.21666666666666667,1212.5748502994013,Impossible Physics (>65mph)
2025-11-02T04:41:47.000000,4.5,0.0,0.23333333333333334,1128.133704735376,Impossible Physics (>65mph)
2025-11-02T04:51:30.000000,0.0,150.0,0.11666666666666667,0.0,"Teleporter (<1min, >$20)"
2025-11-02T04:42:12.000000,0.0,65.0,0.4,0.0,"Teleporter (<1min, >$20)"
2025-11-02T04:44:11.000000,0.03,65.0,0.11666666666666667,14.673913043478262,"Teleporter (<1min, >$20)"
2025-11-02T04:20:39.000000,0.0,15.0,0.03333333333333333,0.0,"Stationary Ride (0mi, >$0)"
2025-11-02T05:57:54.000000,0.06,40.0,0.35,10.112359550561797,"Teleporter (<1min, >$20)"
2025-11-02T05:20:31.000000,0.0,25.0,0.0,0.0,"Teleporter (<1min, >$20)"
2025-11-02T05:11:42.000000,0.2,40.0,0.65,18.29268292682927,"Teleporter (<1min, >$20)"
